original_text,constant
Bandcamp,brand
Deezer,brand
Facebook,brand
iTunes,brand
SoundCloud,brand
Spotify,brand
Tidal,brand
TikTok,brand
YouTube,brand
ALL,currency_code
AMD,currency_code
BAM,currency_code
BGL,currency_code
DKK,currency_code
EUR,currency_code
EUR,currency_code
GBL,currency_code
GEL,currency_code
HRK,currency_code
HUF,currency_code
NOK,currency_code
RON,currency_code
RSD,currency_code
SEK,currency_code
UAH,currency_code
USD,currency_code
Friuli-Venezia Giulia (ITH4),region_name
0,numeric_constant
1,numeric_constant
2,numeric_constant
3,numeric_constant
4,numeric_constant
5,numeric_constant
6,numeric_constant
7,numeric_constant
8,numeric_constant
9,numeric_constant
10,numeric_constant
11,numeric_constant
12,numeric_constant
13,numeric_constant
14,numeric_constant
15,numeric_constant
16,numeric_constant
17,numeric_constant
18,numeric_constant
19,numeric_constant
20,numeric_constant
21,numeric_constant
22,numeric_constant
23,numeric_constant
24,numeric_constant
25,numeric_constant
26,numeric_constant
27,numeric_constant
28,numeric_constant
29,numeric_constant
30,numeric_constant
31,numeric_constant
32,numeric_constant
33,numeric_constant
34,numeric_constant
35,numeric_constant
36,numeric_constant
37,numeric_constant
38,numeric_constant
39,numeric_constant
40,numeric_constant
41,numeric_constant
42,numeric_constant
43,numeric_constant
44,numeric_constant
45,numeric_constant
46,numeric_constant
47,numeric_constant
48,numeric_constant
49,numeric_constant
50,numeric_constant
51,numeric_constant
52,numeric_constant
53,numeric_constant
54,numeric_constant
55,numeric_constant
56,numeric_constant
57,numeric_constant
58,numeric_constant
59,numeric_constant
60,numeric_constant
61,numeric_constant
62,numeric_constant
63,numeric_constant
64,numeric_constant
65,numeric_constant
66,numeric_constant
67,numeric_constant
68,numeric_constant
69,numeric_constant
70,numeric_constant
71,numeric_constant
72,numeric_constant
73,numeric_constant
74,numeric_constant
75,numeric_constant
76,numeric_constant
77,numeric_constant
78,numeric_constant
79,numeric_constant
80,numeric_constant
81,numeric_constant
82,numeric_constant
83,numeric_constant
84,numeric_constant
85,numeric_constant
86,numeric_constant
87,numeric_constant
88,numeric_constant
89,numeric_constant
90,numeric_constant
91,numeric_constant
92,numeric_constant
93,numeric_constant
94,numeric_constant
95,numeric_constant
96,numeric_constant
97,numeric_constant
98,numeric_constant
99,numeric_constant
100,numeric_constant
101,numeric_constant
102,numeric_constant
103,numeric_constant
104,numeric_constant
105,numeric_constant
106,numeric_constant
107,numeric_constant
108,numeric_constant
109,numeric_constant
110,numeric_constant
111,numeric_constant
112,numeric_constant
113,numeric_constant
114,numeric_constant
115,numeric_constant
116,numeric_constant
117,numeric_constant
118,numeric_constant
119,numeric_constant
120,numeric_constant
121,numeric_constant
122,numeric_constant
123,numeric_constant
124,numeric_constant
125,numeric_constant
