Lithuanian translation for survey
Language,lt
CSV Version Format,1
"How to use this: Type your translations into the column (translated_text), then export this file as a CSV before uploading it back to SurveyMonkey."

context,original_text,translated_text (modify this column only),id,checksum
survey_title_html,Version 2 Digital Music Observatory Music Professionals Survey 2023,,510954273,
page_heading,Welcome,,37950558,
page_subheading,"<div>\n<div>Welcome to our survey, conducted as part of the OPEN MUSIC EUROPE project. The aim of this survey is to compare concert opportunities, royalties, and funding opportunities for musicians in different countries in Europe. We will ask you questions about your musical activities, commercially released recordings, live performances and events, musical works and lyrics, and sources of income, as well as some attitudes towards life in general.</div>\n<div>Why are we conducting this survey? In some countries and through some distribution channels, artists receive fair compensation – as required by international copyright law. However, we also see cases where musicians receive less compensation than is fair and equitable.</div>\n<div></div>\n<div>Your responses to this survey will help decision makers assess where they need to initiate changes in royalties. To help us do this, we need the following information from as many music professionals as possible:</div>\n<div>1.    The income you generate through the sale of sound recordings.</div>\n<div>2.    Number of recordings you own. On the one hand, we will ask you about the number of recordings you have published in 2022. On the other hand, we would also like to document how many recordings you own in total.</div>\n<div></div>\n<div>This is the most important data we will collect. Most people do not usually have this data in their heads, but have to look it up. Therefore, in order to get the most accurate data possible, we ask that you research this information before beginning the survey.</div>\n<div></div>\n<div>This survey is completely anonymous: no personally identifiable information will be collected, recorded, or shared.</div>\n<div>We would appreciate it if you would forward this survey to your colleagues. However, we ask that you do not post the link to this survey on social media, in the press, or elsewhere, as we only want to receive responses from people who work in the music industry.</div>\n</div>",,37950558,
question_heading,In which year were you born?,,117747115,
question_option_text,2008,,888764537,
question_option_text,2007,,888764538,
question_option_text,2006,,888764539,
question_option_text,2005,,888764540,
question_option_text,2004,,888764541,
question_option_text,2003,,888764542,
question_option_text,2002,,888764543,
question_option_text,2001,,888764544,
question_option_text,2000,,888764545,
question_option_text,1999,,888764546,
question_option_text,1998,,888764547,
question_option_text,1997,,888764548,
question_option_text,1996,,888764549,
question_option_text,1995,,888764550,
question_option_text,1994,,888764551,
question_option_text,1993,,888764552,
question_option_text,1992,,888764553,
question_option_text,1991,,888764554,
question_option_text,1990,,888764555,
question_option_text,1989,,888764556,
question_option_text,1988,,888764557,
question_option_text,1987,,888764558,
question_option_text,1986,,888764559,
question_option_text,1985,,888764560,
question_option_text,1984,,888764561,
question_option_text,1983,,888764562,
question_option_text,1982,,888764563,
question_option_text,1981,,888764564,
question_option_text,1980,,888764565,
question_option_text,1979,,888764566,
question_option_text,1978,,888764567,
question_option_text,1977,,888764568,
question_option_text,1976,,888764569,
question_option_text,1975,,888764570,
question_option_text,1974,,888764571,
question_option_text,1973,,888764572,
question_option_text,1972,,888764573,
question_option_text,1971,,888764574,
question_option_text,1970,,888764575,
question_option_text,1969,,888764576,
